1600–1650 South America malaria epidemic,South America Malaria Epidemic,1600,1600–1650,South America,Malaria,Unknown
1603 London plague epidemic,London Plague Epidemic,1603,1603,"London, England",Bubonic plague,"40,000"
1609 Egyptian plague epidemic,Egyptian Plague Epidemic,1609,1609,Egypt,Bubonic plague,1 million
1616 New England infections epidemic,New England Infections Epidemic,1616,1616–1620,"Southern New England, United States, especially the Wampanoag people","Unknown, possibly leptospirosis with Weil syndrome. Classic explanations include yellow fever, bubonic plague, influenza, smallpox, chickenpox, typhus, and syndemic infection of hepatitis B and hepatitis D",Unknown (estimated 30–90% of population)
1629–1631 Italian plague,Italian Plague,1629,1629–1631,Italy,Bubonic plague,"280,000"
1632–1635 Augsburg plague epidemic,Augsburg Plague Epidemic,1632,1632–1635,"Augsburg, Germany",Bubonic plague,"13,712"
Massachusetts smallpox epidemic,Massachusetts Smallpox Epidemic,1633,1633–1634,"Massachusetts Bay Colony, Thirteen Colonies",Smallpox,"1,000"
1634–1640 Wyandot people epidemic of infections,Wyandot People Epidemic Of Infections,1634,1634–1640,"Wyandot people, United States and Canada",Smallpox and Influenza,"15,000–25,000"
1637 London plague epidemic,London Plague Epidemic,1636,1636–1637,"London and Westminster, England",Bubonic plague,"10,400"
1641–1644 China plague epidemic,China Plague Epidemic,1641,1641–1644,China,Bubonic plague,Unknown
Great Plague of Seville,Great Plague Of Seville,1647,1647–1652,Spain,Bubonic plague,"500,000"
1648 Central America yellow fever epidemic,Central America Yellow Fever Epidemic,1648,1648,Central America,Yellow fever,Unknown
Naples Plague,Naples Plague,1656,1656,Italy,Bubonic plague,"1,250,000"
1663–1664 Amsterdam plague epidemic,Amsterdam Plague Epidemic,1663,1663–1664,"Amsterdam, Netherlands",Bubonic plague,"24,148"
Great Plague of London,Great Plague Of London,1665,1665–1666,England,Bubonic plague,"100,000"
1668 France plague,France Plague,1668,1668,France,Bubonic plague,"40,000"
1675–76 Malta plague epidemic,Malta Plague Epidemic,1675,1675–1676,Malta,Bubonic plague,"11,300"
1676–1685 Spain plague,Spain Plague,1676,1676–1685,Spain,Bubonic plague,Unknown
1677–1678 Boston smallpox epidemic,Boston Smallpox Epidemic,1677,1677–1678,"Massachusetts Bay Colony, United States",Smallpox,750–1000
Great Plague of Vienna,Great Plague Of Vienna,1679,1679,"Vienna, Austria",Bubonic plague,"76,000"
1681 Prague plague epidemic,Prague Plague Epidemic,1681,1681,"Prague, Czech Kingdom",Bubonic plague,"83,000"
1687 South Africa Influenza outbreak,South Africa Influenza Outbreak,1687,1687,South Africa,"Unknown, possibly Influenza",Unknown
1693 Boston yellow fever epidemic,Boston Yellow Fever Epidemic,1693,1693,"Boston, United States",Yellow fever,"3,100+"
1699 Charleston and Philadelphia yellow fever epidemic,Charleston And Philadelphia Yellow Fever Epidemic,1699,1699,"Charleston and Philadelphia, United States",Yellow fever,"520 (300 in Charleston, 220 in Philadelphia)"
1702 New York City yellow fever epidemic,New York City Yellow Fever Epidemic,1702,1702,"New York City, United States",Yellow fever,500
1702–1703 St. Lawrence Valley smallpox epidemic,St. Lawrence Valley Smallpox Epidemic,1702,1702–1703,"New France, Canada",Smallpox,"1,300"
1707–1709 Iceland smallpox epidemic,Iceland Smallpox Epidemic,1707,1707–1709,Iceland,Smallpox,"18,000+ (36% of population)"
Great Northern War plague outbreak,Great Northern War Plague Outbreak,1710,1710–1712,"Denmark, Sweden, Lithuania",Bubonic plague,"164,000"
1713–1715 North America measles epidemic,North America Measles Epidemic,1713,1713–1715,"Thirteen Colonies and New France, Canada",Measles,Unknown
Great Plague of Marseille,Great Plague Of Marseille,1720,1720–1722,France,Bubonic plague,"100,000+"
1721 Boston smallpox outbreak,Boston Smallpox Outbreak,1721,1721–1722,Massachusetts Bay Colony,Smallpox,844
1730 Cádiz yellow fever epidemic,Cádiz Yellow Fever Epidemic,1730,1730,"Cádiz, Spain",Yellow fever,"2,200"
1732–1733 Thirteen Colonies influenza epidemic,Thirteen Colonies Influenza Epidemic,1732,1732–1733,Thirteen Colonies,Influenza,Unknown
1733 New France smallpox epidemic,New France Smallpox Epidemic,1733,1733,"New France, Canada",Smallpox,Unknown
1735–1741 Diphtheria epidemic,Diphtheria Epidemic,1735,1735–1741,"New England, New York, New Jersey, United States",Diphtheria,"20,000"
Great Plague of 1738,Great Plague Of 1738,1738,1738,Balkans,Bubonic plague,"50,000"
1738–1739 North Carolina smallpox epidemic,North Carolina Smallpox Epidemic,1738,1738–1739,"North Carolina, United States",Smallpox,"7,700–11,700"
1739–1740 Thirteen Colonies measles epidemic,Thirteen Colonies Measles Epidemic,1739,1739–1740,Thirteen Colonies,Measles,Unknown
1741 Cartagena yellow fever epidemic,Cartagena Yellow Fever Epidemic,1741,1741,"Cartagena, Colombia",Yellow fever,"20,000"
1743 Sicily plague epidemic,Sicily Plague Epidemic,1743,1743,"Messina, Sicily, Italy",Bubonic plague,"40,000–50,000"
1747 Thirteen Colonies measles outbreak,Thirteen Colonies Measles Outbreak,1747,1747,Thirteen Colonies,Measles,Unknown
1759 North America measles outbreak,North America Measles Outbreak,1759,1759,North America,Measles,Unknown
1760 Charleston smallpox epidemic,Charleston Smallpox Epidemic,1760,1760,"Charleston, United States",Smallpox,730–940
1761 North America and West Indies influenza epidemic,North America And West Indies Influenza Epidemic,1761,1761,"North America, West Indies",Influenza,Unknown
1762 Havana yellow fever epidemic,Havana Yellow Fever Epidemic,1762,1762,"Havana, Cuba",Yellow fever,"8,000"
1763 Pittsburgh area smallpox outbreak,Pittsburgh Area Smallpox Outbreak,1763,1763,"North America, present-day Pittsburgh area",Smallpox,Unknown
Russian plague of 1770–1772,Russian Plague Of,1770,1770–1772,Russia,Bubonic plague,"50,000"
1772 North America measles epidemic,North America Measles Epidemic,1772,1772,North America,Measles,Unknown
1772–1773 Persian Plague,Persian Plague,1772,1772–1773,Persia,Bubonic plague,2 million+
1775–1776 England influenza outbreak,England Influenza Outbreak,1775,1775–1776,England,Influenza,Unknown
1775–1782 North American smallpox epidemic,North American Smallpox Epidemic,1775,1775–1782,"Pacific Northwest, United States",Smallpox,"11,000+"
1778 Spain dengue fever outbreak,Spain Dengue Fever Outbreak,1778,1778,Spain,Dengue fever,Unknown
1788 Pueblo Indians smallpox epidemic,Pueblo Indians Smallpox Epidemic,1788,1788,"Pueblo Indians, Southwestern United States",Smallpox,Unknown
1788 United States measles epidemic,United States Measles Epidemic,1788,1788,United States,Measles,Unknown
1789–1790 New South Wales smallpox epidemic,New South Wales Smallpox Epidemic,1789,1789–1790,"New South Wales, Australia",Smallpox,Unknown (50–70% of native population)
1793 United States influenza and typhus epidemic,United States Influenza And Typhus Epidemic,1793,1793,United States,Influenza and epidemic typhus,Unknown
1793 Philadelphia yellow fever epidemic,Philadelphia Yellow Fever Epidemic,1793,1793,"Philadelphia, United States",Yellow fever,"5,000+"
1800–1803 Spain yellow fever epidemic,Spain Yellow Fever Epidemic,1800,1800–1803,Spain,Yellow fever,"60,000+"
1801 Ottoman Empire and Egypt bubonic plague epidemic,Ottoman Empire And Egypt Bubonic Plague Epidemic,1801,1801,"Ottoman Empire, Egypt",Bubonic plague,Unknown
1802–1803 Saint-Domingue yellow fever epidemic,Saintdomingue Yellow Fever Epidemic,1802,1802–1803,Saint-Domingue,Yellow fever,"29,000–55,000"
1812 Egypt bubonic plague epidemic,Egypt Bubonic Plague Epidemic,1812,1812,Egypt,Bubonic plague,Unknown
1812 Russia Typhus epidemic,Russia Typhus Epidemic,1812,1812,Russia,Typhus,"300,000"
1812–19 Ottoman plague epidemic,Ottoman Plague Epidemic,1812,1812–1819,Ottoman Empire,Bubonic plague,"300,000+"
1813–14 Malta plague epidemic,Malta Plague Epidemic,1813,1813–1814,Malta,Bubonic plague,"4,500"
Caragea's plague,Caragea'S Plague,1813,1813,Romania,Bubonic plague,"60,000"
1817–1819 Ireland typhus epidemic,Ireland Typhus Epidemic,1817,1817–1819,Ireland,Typhus,"65,000"
First cholera pandemic,First Cholera Pandemic,1817,1817–1824,"Asia, Europe",Cholera,"100,000+"
1820 Savannah yellow fever epidemic,Savannah Yellow Fever Epidemic,1820,1820,"Savannah, Georgia, United States",Yellow fever,700
1821 Barcelona yellow fever epidemic,Barcelona Yellow Fever Epidemic,1821,1821,"Barcelona, Spain",Yellow fever,"5,000–20,000"
Second cholera pandemic,Second Cholera Pandemic,1826,1826–1837,"Asia, Europe, North America",Cholera,"100,000+"
1828–1829 New South Wales smallpox epidemic,New South Wales Smallpox Epidemic,1828,1828–1829,"New South Wales, Australia",Smallpox,"19,000"
Groningen epidemic,Groningen Epidemic,1829,1829,Netherlands,Malaria,"2,800"
1829–1833 Pacific Northwest malaria epidemic,Pacific Northwest Malaria Epidemic,1829,1829–1833,"Pacific Northwest, United States","Malaria, possibly other diseases too","150,000"
1829–1835 Iran plague outbreak,Iran Plague Outbreak,1829,1829–1835,Iran,Bubonic plague,Unknown
1831–1834 Plains Indians smallpox epidemic,Plains Indians Smallpox Epidemic,1831,1831–1834,Plains Indians,Smallpox,Unknown
1834–1836 Egypt plague epidemic,Egypt Plague Epidemic,1834,1834–1836,Egypt,Bubonic plague,Unknown
1837 Great Plains smallpox epidemic,Great Plains Smallpox Epidemic,1837,1837–1838,"Great Plains, United States and Canada",Smallpox,"17,000+"
1840 South Africa smallpox epidemic,South Africa Smallpox Epidemic,1840,1840,South Africa,Smallpox,Unknown
1841 Southern United States yellow fever epidemic,Southern United States Yellow Fever Epidemic,1841,1841,Southern United States (especially Louisiana and Florida),Yellow fever,"3,498"
