Year,Mean Sp,,LineChart Data,,,,,Epidemic,,,,,,,,,Epi-Scatter Data
1610,36,,"{ x: new Date(1610, 1, 1), y: 36 },",,,,,,Year,Sunspots,Epidemic_Name_Clean,Epidemic_Year_Range,Epidemic_Location,Epidemic_Death_Toll,,,
1611,34.1,,"{ x: new Date(1611, 1, 1), y: 34.1 },",,,,,6,1616,20.1,New England Infections Epidemic,1616–1620,"Southern New England, United States, especially the Wampanoag people",Unknown (estimated 30–90% of population),,,"{ x: new Date(1616, 1, 1), y: 20.1 },"
1612,92.7,,"{ x: new Date(1612, 1, 1), y: 92.7 },",,,,,19,1629,18.7,Italian Plague,1629–1631,Italy,"280,000",,,"{ x: new Date(1629, 1, 1), y: 18.7 },"
1613,109.6,,"{ x: new Date(1613, 1, 1), y: 109.6 },",,,,,22,1632,0,Augsburg Plague Epidemic,1632–1635,"Augsburg, Germany","13,712",,,"{ x: new Date(1632, 1, 1), y: 0 },"
1614,121,,"{ x: new Date(1614, 1, 1), y: 121 },",,,,,23,1633,14.3,Massachusetts Smallpox Epidemic,1633–1634,"Massachusetts Bay Colony, Thirteen Colonies","1,000",,,"{ x: new Date(1633, 1, 1), y: 14.3 },"
1615,80.3,,"{ x: new Date(1615, 1, 1), y: 80.3 },",,,,,24,1634,3,Wyandot People Epidemic Of Infections,1634–1640,"Wyandot people, United States and Canada","15,000–25,000",,,"{ x: new Date(1634, 1, 1), y: 3 },"
1616,20.1,,"{ x: new Date(1616, 1, 1), y: 20.1 },",,,,,26,1636,0,London Plague Epidemic,1636–1637,"London and Westminster, England","10,400",,,"{ x: new Date(1636, 1, 1), y: 0 },"
1617,2.3,,"{ x: new Date(1617, 1, 1), y: 2.3 },",,,,,31,1641,0,China Plague Epidemic,1641–1644,China,Unknown,,,"{ x: new Date(1641, 1, 1), y: 0 },"
1618,1.3,,"{ x: new Date(1618, 1, 1), y: 1.3 },",,,,,37,1647,0,Great Plague Of Seville,1647–1652,Spain,"500,000",,,"{ x: new Date(1647, 1, 1), y: 0 },"
1619,15,,"{ x: new Date(1619, 1, 1), y: 15 },",,,,,38,1648,0,Central America Yellow Fever Epidemic,1648,Central America,Unknown,,,"{ x: new Date(1648, 1, 1), y: 0 },"
1620,15,,"{ x: new Date(1620, 1, 1), y: 15 },",,,,,46,1656,0.6,Naples Plague,1656,Italy,"1,250,000",,,"{ x: new Date(1656, 1, 1), y: 0.6 },"
